Gene,C3,C5,C7,T3,T4,T5
1700012B07Rik,0,0,0,2,0,0
1700023C21Rik,0,0,0,0,0,0
Abca8b,110,87,91,90,131,20
Abca8a,285,261,217,190,384,66
Abca9,216,226,166,187,249,53
Abca6,18,31,14,21,22,3
Abca5,100,60,90,85,108,35
Map2k6,322,243,254,346,364,217
Gm11682,0,0,0,0,0,0
Kcnj16,4,5,1,6,7,1
Kcnj2,152,81,122,127,145,18
Gm30158,0,0,0,0,0,0
BC006965,6,0,1,10,6,1
Sox9,2162,1132,1815,1925,2228,1081
Gm11681,0,1,0,1,0,0
1700012H19Rik,0,0,0,1,1,0
2610035D17Rik,371,264,319,394,390,268
4732490B19Rik,71,47,40,68,70,39
Slc39a11,4248,2776,3151,3492,3684,2872
Sstr2,49,31,45,52,90,30
Cog1,2752,1706,2092,2138,2502,1853
Fam104a,1342,918,1163,1003,1153,894
D11Wsu47e,258,198,243,227,209,169
Cpsf4l,32,27,33,28,21,11
Cdc42ep4,2809,1724,2261,2090,2448,2055
Sdk2,65,45,52,58,58,28
Gm39468,0,0,1,0,1,0
1700025D23Rik,0,0,0,0,0,0
1700001J04Rik,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0
Gm11691,0,0,0,0,0,0
4932435O22Rik,0,0,2,0,1,0
Rpl38,3727,3019,3456,3324,2776,4364
Ttyh2,768,677,765,818,978,689
Dnaic2,14,3,2,8,10,9
Kif19a,62,64,49,28,54,40
Btbd17,9,11,9,14,6,8
Gpr142,0,0,2,0,0,1
Gprc5c,56,72,66,74,66,57
Cd300a,155,186,107,130,141,75
Cd300lb,52,181,63,51,42,21
Cd300c,12,0,2,6,5,1
Cd300ld,75,241,71,50,73,17
Cd300c2,130,169,125,114,160,80
Cd300ld4,0,0,0,0,0,0
Cd300ld5,0,0,0,0,0,0
Cd300ld3,7,6,6,0,3,7
Cd300e,33,15,31,31,20,8
Rab37,147,58,138,155,169,121
Cd300lf,64,77,90,52,63,37
Slc9a3r1,10949,7307,8670,9339,10308,10530
Nat9,459,324,403,356,372,310
Tmem104,683,486,516,484,536,408
Grin2c,1,0,2,3,0,0
Fdxr,430,379,335,352,434,367
Fads6,42,62,40,33,48,21
Otop2,0,0,0,0,0,0
Ush1g,2,2,1,1,4,2
Otop3,1,1,1,1,6,1
Hid1,3800,2351,2934,3007,3421,2674
Cdr2l,488,412,346,358,496,259
Mrpl58,932,674,770,685,711,835
Atp5h,5369,3569,4509,4196,4199,4885
Kctd2,1215,854,1034,1031,1162,835
Trim80,2,4,2,4,0,2
Mir3968,0,0,0,0,0,0
Slc16a5,2534,1997,2288,2490,2459,2312
Armc7,253,197,227,156,198,140
Nt5c,1656,1042,1389,1376,1514,1290
Gm11694,9,5,9,10,13,3
Jpt1,7479,4790,6462,5590,5883,4349
Sumo2,1292,924,1009,956,1144,1000
Nup85,1103,715,993,775,825,424
Gga3,1201,857,1138,971,1142,629
Mrps7,1196,937,1058,823,912,656
Mif4gd,1722,1102,1490,1425,1620,1167
Slc25a19,451,342,412,362,389,327
Grb2,3280,2067,2497,2512,2848,1975
Tmem94,5206,3529,4274,4565,5629,4438
Mir5621,0,0,1,0,0,0
Caskin2,4006,3339,3658,3325,3936,3153
Tsen54,767,476,621,559,600,528
Llgl2,8697,5708,7051,7015,8083,7799
Myo15b,36917,26537,32283,38294,45710,42228
Recql5,2469,1591,2144,2650,3255,2636
Smim5,62,45,46,62,97,42
Smim6,1798,1195,1476,1670,1652,1304
Sap30bp,796,537,674,634,717,533
Itgb4,9484,6173,8155,9731,10711,8847
B230344G16Rik,25,36,25,34,27,19
Galk1,502,455,443,438,582,656
H3f3b,15783,10063,13497,15387,14443,9181
Unk,944,640,872,835,933,580
Unc13d,1160,712,1117,755,1009,958
Wbp2,2820,1734,2208,2186,2473,1901
Trim47,391,447,438,388,494,424
Trim65,352,284,339,327,384,173
Mrpl38,1545,1005,1206,922,1124,1061
Fbf1,964,604,719,628,724,541
Acox1,8916,7244,7573,9333,11201,5340
Ten1,496,316,396,360,407,317
Cdk3,26,18,23,25,39,16
Evpl,3917,2275,3242,3662,4655,4039
Srp68,2824,1758,2398,2092,2194,1070
Galr2,70,48,57,42,44,42
Exoc7,1608,1059,1269,1366,1489,1233
Foxj1,4,6,2,6,9,7
Rnf157,193,82,139,103,150,95
Ubald2,3572,2111,2525,2950,3386,3470
Qrich2,8,9,8,3,14,9
Prpsap1,4719,3424,4546,4318,4770,4277
Sphk1,76,68,83,112,115,99
Ube2o,733,655,640,659,800,613
Aanat,1,0,2,7,2,0
Rhbdf2,1475,958,1213,1071,1172,1043
Cygb,742,747,704,863,1121,958
Prcd,18,13,13,2,11,10
Snhg16,266,159,231,223,244,116
Snord1c,5,1,2,4,0,1
Snord1b,4,1,6,2,2,0
Snord1a,0,0,0,0,0,0
St6galnac2,1372,923,1075,1228,1208,701
BC018473,5,4,1,10,3,0
St6galnac1,5,5,10,5,3,1
Mxra7,360,342,341,355,475,273
Jmjd6,891,693,761,683,786,445
Mettl23,360,278,327,252,315,287
Srsf2,9585,6514,8799,7796,8578,4211
Mfsd11,889,592,694,768,823,654
Mgat5b,14,2,3,3,9,2
Gm11728,0,0,1,0,0,0
Snhg20,301,214,277,221,348,144
Mir6516,19,4,12,12,13,2
Sec14l1,2018,1591,1602,1600,1846,1291
Septin9,3227,2297,2574,2519,3087,1946
Gm11729,2,0,0,2,0,3
Gm8624,0,0,0,2,1,0
Gm11732,0,0,0,0,0,0
Gm11733,0,1,1,0,0,1
Gm11734,3,7,4,2,4,3
2900041M22Rik,12,7,14,16,20,8
Tnrc6c,1685,1126,1326,1500,1782,747
Tmc6,4166,2766,3294,3868,4463,3729
Tmc8,1205,762,1139,1161,1334,817
6030468B19Rik,5,1,4,2,9,4
Syngr2,7201,4815,6131,5952,6478,5491
Tk1,1356,788,1045,1039,915,868
Afmid,438,305,323,383,455,254
Birc5,1357,859,1105,882,702,514
Tmem235,0,3,0,1,7,0
Tha1,658,411,569,476,713,455
Socs3,3715,2720,3433,1938,2937,2061
Pgs1,1920,1356,1563,1326,1441,1289
Mir6933,2,0,3,9,0,3
Dnah17,218,192,187,191,198,122
Cyth1,2216,1683,1824,2091,2303,1377
Usp36,1451,1087,1303,1132,1354,785
Timp2,2942,3100,2564,2561,3432,1924
Cep295nl,4,5,0,10,6,0
Lgals3bp,14164,10282,11997,12847,12526,11457
Cant1,9768,6557,8148,8589,9021,8335
C1qtnf1,389,373,350,379,422,302
Gm11747,0,2,0,0,2,1
Engase,1510,1046,1342,1502,1671,1709
Rbfox3,13,9,16,14,28,15
Enpp7,0,0,0,0,0,0
Cbx2,270,157,204,166,219,189
Cbx8,128,109,127,113,130,127
Cbx4,640,338,477,426,574,370
Tbc1d16,538,461,483,546,730,499
Mir6934,0,0,0,0,0,0
Ccdc40,5,1,9,3,9,12
Gm35932,1,0,0,1,0,0
Gaa,2209,1717,1755,1875,2381,2066
Eif4a3,2307,1598,2035,1805,1883,1511
Card14,1089,763,901,923,1248,810
Sgsh,581,398,488,493,629,377
Slc26a11,195,175,168,173,305,107
Rnf213,9942,7393,9774,11109,8524,3741
Mir1932,5,0,0,3,3,1
A930037H05Rik,29,12,9,31,19,2
Endov,890,515,677,773,880,537
Nptx1,22,22,30,14,37,14
Gm11762,1,0,0,1,3,4
Rptor,1909,1403,1582,1699,1674,1253
Rptoros,7,6,8,20,14,4
Mir5098,17,3,8,13,5,6
Chmp6,1916,1362,1691,1713,1772,1789
Baiap2,729,542,591,880,898,587
Aatk,203,179,181,147,259,227
Mir338,0,0,0,0,0,0
Mir3065,0,0,0,0,0,0
Cep131,597,367,463,473,601,405
Tepsin,1247,825,1131,963,1153,871
Ndufaf8,568,477,513,548,526,591
Slc38a10,4944,3520,4057,4049,4545,4644
2810410L24Rik,241,125,172,192,234,125
2900052L18Rik,247,200,197,289,398,156
Bahcc1,1473,965,1235,1407,1666,882
Actg1,60969,44757,55209,47988,58800,39475
Mir6935,0,0,0,0,0,0
0610009L18Rik,68,44,56,42,83,44
Fscn2,9,5,5,8,3,3
Faap100,669,632,628,639,793,740
Nploc4,3032,1980,2566,2354,2338,1884
Tspan10,0,0,6,5,2,2
Pde6g,2,5,3,2,6,1
Oxld1,232,164,197,193,225,227
Ccdc137,637,413,521,438,513,215
Arl16,221,138,178,173,206,98
Hgs,3407,2277,2801,2782,2902,2255
Mrpl12,4089,2648,3615,2852,3030,4011
Slc25a10,7053,5420,6164,6006,6800,7394
Gcgr,0,6,3,4,4,5
Mcrip1,395,352,375,315,437,451
Ppp1r27,2,3,0,2,2,0
P4hb,26564,18426,22850,21922,20751,16846
Arhgdia,13337,9691,11821,11285,11652,12555
Alyref,1799,1171,1506,1141,1204,851
Anapc11,984,727,747,763,858,787
Npb,9,7,2,2,14,3
Pcyt2,3525,2280,2931,2774,3184,2571
Sirt7,2555,1633,2049,1985,2290,1721
Mir6936,0,0,0,0,0,0
Mafg,755,563,626,676,828,463
Gm17586,78,46,42,34,46,47
Pycr1,310,278,243,298,237,165
Myadml2,6,1,0,1,1,0
Notum,6,4,10,5,4,3
Aspscr1,1944,1368,1577,1674,1902,2098
Cenpx,816,582,695,656,686,954
Lrrc45,1779,1068,1416,1353,1626,1122
Rac3,227,140,213,203,304,237
Dcxr,1290,763,1074,1056,1511,1396
Cbr2,710,344,456,467,714,536
Hmga1b,56,28,41,46,32,53
Rfng,1130,760,1012,907,954,849
Gps1,2239,1478,1862,1725,1839,1700
Dus1l,1356,915,1190,1085,1197,971
Fasn,14895,14511,13047,13321,15545,15116
Ccdc57,83,57,84,83,123,49
Slc16a3,694,701,623,904,955,1013
Csnk1d,5835,3777,4987,5079,5573,3590
Cd7,72,35,77,51,58,47
Sectm1b,7409,4477,6100,7695,9413,6864
Sectm1a,521,165,459,518,446,341
Tex19.2,0,0,0,2,0,0
Tex19.1,4,1,1,1,1,1
Uts2r,0,1,0,0,0,0
Ogfod3,210,140,186,202,230,224
Hexdc,534,336,487,644,716,513
Cybc1,1121,758,1015,959,1088,634
Narf,1461,966,1241,1638,1786,860
