Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Rab8b,2762,2618,1958,2418,2732,2562,1515,2305,3676,2902
Rps27l,6839,7156,5676,5779,9346,5934,7070,7482,7653,6108
Lactb,1253,1608,1200,1116,1540,1025,1167,1499,1614,1148
Tpm1,29443,33243,29253,25301,42803,25866,29365,31101,52302,48724
Gm10646,0,2,0,2,0,0,0,0,0,0
Gm19299,0,2,0,4,0,4,0,0,0,6
Tln2,5057,3879,2524,2848,3798,3534,2682,3324,3235,2792
Mir190a,0,0,0,0,0,0,0,0,0,0
Mir7241,0,0,0,0,0,0,0,0,0,0
Mir7242,0,0,0,0,0,0,0,0,0,0
M5C1000I18Rik,10,5,13,8,9,9,20,12,12,18
C2cd4b,612,665,505,445,634,437,739,920,1203,500
C2cd4a,675,750,659,503,793,501,734,1095,706,472
Vps13c,8327,7653,5679,4842,6725,5310,5587,6367,7439,5584
Gm20745,0,0,0,0,0,0,0,0,0,0
4930502A04Rik,0,0,0,2,0,2,4,8,0,6
Rora,368,448,349,479,846,396,296,460,1012,883
9530091C08Rik,12,0,0,4,0,12,7,4,28,8
Gm15511,0,0,0,0,0,0,0,0,0,6
Ice2,1461,1789,1382,1094,1742,1299,1616,1425,1870,1309
Anxa2,73680,85485,52770,63711,112754,69081,58387,64536,67831,57698
Mir3109,13,10,11,10,22,4,4,5,0,3
Foxb1,0,0,0,0,0,0,0,0,0,0
B230323A14Rik,0,0,0,0,0,0,0,0,0,0
Bnip2,4167,4119,2803,3512,5130,3539,3282,4324,5867,4866
Gtf2a2,2318,3035,2302,2213,3685,2210,2737,2855,3277,2653
Gcnt3,22605,33854,26223,21581,31829,24767,27109,20580,26283,21580
Fam81a,10,32,17,30,20,12,12,19,138,47
Myo1e,13527,12983,9106,9199,11669,9605,8773,9841,11772,9011
Mir5626,0,0,0,0,0,0,0,0,0,0
Ccnb2,4337,4247,2686,2901,4860,3209,3650,3173,3126,2323
Rnf111,5185,5494,4006,3471,5918,4047,4069,4376,5587,4447
Sltm,7560,7916,5900,5800,9400,6284,7036,7603,8991,7256
Mindy2,3715,3445,2302,2208,3972,2487,2838,3439,3702,3277
Adam10,19125,17698,10607,11553,15556,11908,12339,14757,16333,13287
Lipc,35,53,26,39,0,18,33,29,55,40
Gm46120,0,0,0,0,0,0,0,0,0,0
Aqp9,33,22,16,60,0,52,16,30,62,22
Gm32511,0,0,2,0,0,0,0,4,0,0
Gm3458,0,0,0,2,0,0,0,0,0,0
Aldh1a2,131,229,226,222,406,204,220,330,1192,362
Polr2m,13036,13500,9357,9264,14364,9523,10719,11037,13512,10299
Myzap,1712,2019,1577,1241,2123,1174,1186,1234,1647,1355
Cgnl1,6538,6140,3689,4263,5885,5083,3719,5218,7121,4139
Tcf12,6920,7658,4852,5323,7417,5902,5687,5774,6991,5486
Zfp280d,2324,2714,1929,1673,2624,2094,2095,2112,2692,2474
BC065403,0,2,0,12,0,2,0,0,0,2
Mns1,393,383,248,241,288,282,287,213,394,251
Tex9,1289,1943,1713,1442,2508,1882,2077,1323,2166,1599
4930509E16Rik,96,80,55,60,66,67,85,92,118,53
Rfx7,5665,6178,3925,3441,5715,4430,5638,5165,5815,4469
Nedd4,46930,45229,31204,31550,45365,36320,36965,36998,49521,36640
Gm27204,0,0,0,0,0,0,0,0,0,0
Prtg,12,42,14,26,40,48,12,20,6,35
Pygo1,68,102,101,88,104,88,40,120,254,174
Dnaaf4,30,14,32,18,16,48,10,22,0,34
Ccpg1os,315,348,235,203,264,168,285,291,377,276
Ccpg1,4827,5141,3906,3627,5739,3557,4179,4235,6212,4966
Pigb,1264,1019,736,642,592,824,745,650,524,595
Pigbos1,532,637,508,444,535,422,756,717,697,591
Rab27a,4053,4362,2855,3743,4644,3353,2996,2715,3834,2532
Khdc3,42,42,57,52,24,59,60,43,36,25
Rsl24d1,2496,3151,2570,2348,3998,2714,3191,3207,3548,2921
Gm27211,0,0,0,0,0,0,0,0,0,0
Unc13c,0,5,10,4,26,0,8,6,34,38
Wdr72,0,4,4,0,0,0,0,0,0,0
Gm16551,0,0,0,0,0,0,0,0,0,0
Onecut1,2,4,0,0,0,0,0,5,0,0
Fam214a,1358,1650,1065,1087,1473,921,1105,1167,1554,1195
Gm51280,0,1,0,0,0,0,0,0,0,0
Arpp19,6536,6733,4784,4950,8111,4934,5949,5759,8048,5478
Myo5a,1134,959,696,1015,904,980,581,1262,2172,1523
Myo5c,21117,17747,10479,10720,11284,11244,12917,13166,16381,10689
Gnb5,895,1358,1209,1008,1377,1116,913,1023,1488,1228
Bcl2l10,4,7,6,0,0,1,0,10,34,4
Mapk6,16174,17628,11285,11490,17427,12497,11532,11638,12875,9522
4933433G15Rik,19,25,34,10,0,12,11,19,67,24
Leo1,2616,2269,1990,1594,2562,1698,2075,1812,2175,1795
Gm7972,75,90,50,38,66,57,67,58,29,39
Tmod3,14002,15060,10251,10241,15184,11707,11017,11016,13121,11438
Tmod2,254,360,254,348,462,303,292,418,768,829
Lysmd2,408,505,371,478,658,439,501,480,619,714
Scg3,130,202,160,222,286,201,262,218,418,366
Bmp5,2582,2752,2262,3074,4108,2569,1146,2326,4074,3161
Hmgcll1,280,348,199,309,494,363,362,202,342,230
Gfral,0,0,0,0,0,0,0,0,0,0
Hcrtr2,0,4,2,0,0,0,2,4,0,4
Fam83b,5259,6072,3507,3129,4670,3835,4498,4375,4036,3239
Tinag,1082,1720,975,1083,1938,1193,1315,1655,1504,1327
Mlip,0,2,0,6,0,10,2,0,0,6
5730403I07Rik,7,6,6,6,0,0,0,2,0,0
Lrrc1,7055,7477,5542,4510,7529,4750,5666,6021,6016,5092
Klhl31,6,12,8,20,20,8,6,22,25,11
Gclc,10528,14768,9785,11272,18910,12916,12672,11007,11375,10926
Elovl5,7621,7428,5530,5475,6772,5650,6729,6811,8715,7296
Gcm1,0,10,0,0,0,0,0,0,0,0
Fbxo9,4452,5125,4046,3527,6385,3794,4190,4176,4847,3799
Cilk1,15632,14220,9022,9272,13737,11209,11108,10661,11403,8923
Rn7sk,80,138,102,134,210,96,118,136,264,180
C920006O11Rik,276,363,187,247,481,265,282,251,384,300
Gsta4,3075,5178,3274,3724,8083,4487,4211,2955,3607,3104
Gsta1,736,1657,815,871,2094,1017,1568,820,1025,736
Gm3776,324,797,374,390,985,433,554,305,535,252
Gm10639,22,12,13,31,162,39,23,7,63,11
Omt2a,0,0,0,0,0,0,0,0,0,0
Omt2b,0,0,0,0,0,0,0,0,0,0
Gsta2,2,6,6,10,4,2,6,2,2,12
Dppa5a,4,4,0,0,0,0,10,2,0,0
Ooep,19,20,12,16,86,14,24,12,14,34
Ddx43,139,226,154,118,52,146,148,92,114,140
Cgas,797,826,672,603,829,689,658,770,694,684
Mto1,1895,1793,1354,1150,2050,1271,1706,1612,1657,1406
Eef1a1,568518,602571,435083,386771,741819,420354,493701,542116,608107,494365
LOC115487230,19,31,5,14,23,19,9,11,82,31
Slc17a5,2353,3528,2390,1993,3393,2309,2106,2225,2678,2224
Cd109,336,358,334,312,470,388,164,336,954,741
Gm10635,0,0,2,4,0,0,0,0,0,0
Col12a1,5743,5411,3372,11757,11296,9545,2866,4610,10786,7382
Cox7a2,13836,15629,12126,9462,17654,9433,13812,14984,14000,11866
Tmem30a,14078,17110,11589,11605,18688,11349,11807,12535,17620,14033
4930429F24Rik,52,52,56,64,67,45,49,96,112,106
Filip1,282,340,363,291,317,277,234,483,1431,824
Senp6,8341,8764,6153,6277,9383,6414,7700,7646,9600,7705
Myo6,29881,27932,19354,16621,25756,19383,21043,23214,23055,18641
Gm27227,0,2,6,0,0,0,0,4,0,4
Impg1,4,2,2,2,0,0,0,2,0,10
Htr1b,12,26,22,12,26,10,6,22,90,32
D430036J16Rik,0,0,0,0,0,0,0,1,48,0
Mei4,0,2,0,8,50,4,0,6,38,2
Irak1bp1,83,112,80,108,204,110,66,102,176,132
Phip,3607,4014,2393,2481,5102,2999,3305,3353,4841,3667
Hmgn3,208,277,282,313,446,253,254,313,664,571
Gm27216,0,0,0,0,0,0,0,0,0,0
Lca5,357,326,230,249,264,318,353,265,484,283
Gm2087,0,0,0,0,0,0,0,0,0,0
Sh3bgrl2,26385,25364,17560,15172,23792,17399,20040,18869,18833,13960
Gm2109,4,0,0,6,0,0,0,1,0,0
Elovl4,6,6,4,22,0,10,14,10,14,40
Ttk,1629,1556,970,1176,1222,1195,1213,1114,1120,876
Bckdhb,860,1001,840,810,948,859,881,1046,1093,1057
4930554C24Rik,0,0,0,0,0,0,0,0,0,0
Tent5a,11012,12792,8456,8017,11576,8425,8892,10085,10523,8866
Ibtk,11946,11589,7515,6868,9372,8216,8840,8637,9202,6914
Tpbg,464,862,478,758,950,680,614,516,510,873
Ube2cbp,275,288,172,250,464,306,240,243,366,184
Dop1a,2829,2932,1723,1817,2721,2279,2353,2507,2612,2040
Pgm3,4579,4559,3093,2530,4309,3129,3785,3635,2914,2783
Rwdd2a,83,112,66,19,14,77,90,72,112,61
Me1,2437,4355,3912,2448,4220,3144,3790,2417,3404,2196
A330041J22Rik,5,1,0,4,0,3,2,2,0,0
Prss35,8,0,8,10,42,0,0,18,223,12
Snap91,71,80,71,52,0,44,68,100,286,188
Ripply2,0,0,2,0,0,0,0,0,0,0
Cyb5r4,7063,7511,4946,4712,8215,4898,5426,5888,7183,5228
Mrap2,2,19,9,5,0,2,16,14,0,4
Cep162,1095,1018,614,742,800,863,934,973,1183,894
Tbx18,0,2,0,6,0,0,0,6,36,6
Gm51281,0,0,0,0,0,0,0,0,0,0
Nt5e,8849,8974,4860,6327,9410,5355,2766,5058,7592,5244
Snx14,5859,6536,4620,3803,6002,3968,4650,4852,4993,4225
Syncrip,13144,14828,7259,11053,16832,12599,11639,11688,14126,10837
Snhg5,1993,2059,1428,1788,3482,1755,2012,1858,2513,1888
Zfp949,829,970,765,599,995,650,959,818,1014,883
Trim43a,27,21,3,14,78,19,24,19,0,33
9430037G07Rik,181,210,62,117,168,133,125,84,204,79
Mthfsl,634,757,600,629,1156,611,637,852,725,702
Bcl2a1d,136,210,112,131,294,122,57,154,244,208
Gm10634,4,0,0,0,0,0,2,0,0,0
Trim43c,50,29,16,17,106,33,39,32,0,24
9330159M07Rik,190,180,109,90,85,81,121,92,50,90
