Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Slc35b3,4822,4752,3441,3354,6159,3708,3718,4288,5073,3888
5033403F01Rik,34,67,28,29,42,26,16,41,52,34
Gm40923,0,0,0,0,0,0,0,0,0,0
A230103O09Rik,0,0,0,0,0,0,0,0,0,0
Ofcc1,1,0,0,0,0,0,0,0,0,0
Tfap2a,0,12,0,12,0,0,12,16,74,4
Gm26688,0,0,0,0,0,0,0,0,0,0
Gcnt2,2407,2489,1951,2644,3086,2573,1240,1704,3065,2386
Mir5124a,0,0,0,0,0,0,2,0,0,0
A730081D07Rik,25,16,12,12,0,23,6,26,36,20
Pak1ip1,4111,4208,3028,3256,5035,3399,3517,3950,4458,3651
Tmem14c,7688,9691,7599,5800,10276,6098,8742,8840,9405,7792
Mak,4,2,14,0,0,10,0,8,0,14
Gcm2,4,0,0,4,0,0,2,0,0,0
Sycp2l,0,0,6,0,0,0,0,0,0,4
Elovl2,18,10,4,10,0,18,26,24,42,14
Smim13,1874,2242,1440,1382,1898,1439,1740,1796,2120,1752
Nedd9,9662,11136,7689,9584,12429,8803,7516,7761,10482,7125
Tmem170b,3420,3114,2166,1924,2756,2350,2398,2539,2974,2421
Adtrp,2107,3120,2401,2250,4498,2163,2380,2485,3165,2132
Gm10790,5,0,4,1,0,5,0,2,0,2
Hivep1,5900,6065,3930,3759,4588,4509,4044,4261,5333,4144
Edn1,345,984,732,1105,1638,933,630,882,1027,1065
Phactr1,70,130,62,90,90,67,52,111,224,246
Tbc1d7,653,780,486,581,1023,532,669,538,591,576
Gfod1,497,508,314,394,440,410,292,389,765,410
Sirt5,620,700,450,514,622,536,580,684,916,598
Nol7,4041,4344,3125,3310,5855,3443,3894,4219,4602,3767
Ranbp9,4051,4515,3456,2888,5200,3269,3607,3431,4462,3471
Mcur1,8042,8740,6644,5893,9129,5958,6591,7195,8343,6212
Rnf182,0,0,2,0,0,2,0,0,0,4
Gm20751,4,2,0,3,0,0,0,0,0,0
Cd83,581,1081,564,601,486,470,549,1289,1865,1822
Gm5083,0,0,0,0,0,0,0,0,0,2
A330076C08Rik,0,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,5,3,0,8,0,1,0,1
Gm34084,413,545,338,266,291,327,564,441,467,346
Jarid2,6237,6291,4025,3809,5374,4323,4745,4888,6180,4679
Dtnbp1,1204,1484,981,1171,2154,1260,1002,1384,1822,1343
Mylip,1661,2546,1873,1963,3934,1805,1434,2211,2438,2912
Gmpr,581,823,583,610,665,522,885,959,974,901
Atxn1,3960,4512,3201,3210,5680,3300,3183,4131,5380,3838
5033430I15Rik,55,65,80,68,65,80,78,75,30,77
Stmnd1,0,10,1,10,0,0,4,2,0,18
Rbm24,92,108,89,69,8,44,92,110,90,157
Cap2,175,294,269,180,220,191,340,350,1188,897
Fam8a1,9183,9527,6257,5935,9013,5994,6622,7964,9358,7392
Nup153,6260,6352,3927,4431,6764,5518,5220,5550,5894,4791
Kif13a,10747,9717,5473,5662,7392,7113,6545,7526,7847,6055
Nhlrc1,322,350,262,242,390,280,383,326,550,278
Tpmt,1457,1826,1312,1113,1628,1262,1455,1211,1968,1188
Kdm1b,2568,3005,2114,2240,2889,2298,2448,2847,2681,2703
Dek,7613,8553,5336,6298,9462,6810,6329,5840,6711,5497
Rnf144b,104,154,166,123,218,108,154,164,528,416
A930002C04Rik,0,0,0,0,0,0,0,0,0,0
4930471G24Rik,0,0,0,0,0,0,0,0,0,0
G630093K05Rik,0,0,0,0,0,0,0,0,0,0
4931429P17Rik,0,0,0,0,0,0,0,0,0,0
A330033J07Rik,12,30,7,12,21,17,36,13,117,25
Gm36183,0,0,0,0,0,1,0,0,0,0
Id4,724,1016,857,799,923,741,955,1031,1793,1306
A330048O09Rik,0,0,4,0,0,0,0,0,0,0
Zfp169,596,430,198,194,158,395,391,375,276,185
A830005F24Rik,0,18,2,2,0,2,0,12,0,20
Mirlet7d,6,7,4,7,0,4,1,1,0,4
Mirlet7f-1,0,4,0,0,0,0,0,0,0,3
Mirlet7a-1,0,6,0,0,0,0,0,0,0,0
Ptpdc1,160,266,102,171,320,158,122,306,454,431
Barx1,0,2,0,0,0,0,0,6,0,4
Phf2,5373,6012,4404,4574,5718,4789,4940,5545,6838,5156
Fam120a,57784,56437,39880,31330,47324,35956,42639,42993,46349,35851
Fam120aos,919,1058,840,799,1816,672,873,1076,1136,1183
Wnk2,2292,2820,2280,1435,1911,1655,2551,2124,2168,1901
Ninj1,1731,2041,1618,1949,2128,1846,1692,2260,2731,2222
Card19,2789,3422,2572,2696,4913,2594,2613,2983,3904,3009
Susd3,78,96,60,88,106,68,39,159,70,193
Fgd3,1427,1665,1336,1161,1107,1188,1024,1262,1378,1102
Bicd2,2507,2584,1865,1989,3060,2286,2278,2790,3524,2887
Ippk,2103,2420,1726,1791,2876,1900,2211,2572,2554,1886
Cenpp,252,261,190,253,260,228,209,197,150,201
Ecm2,111,190,239,195,417,192,82,358,585,505
Aspn,832,1357,1016,939,1564,848,533,1097,3396,2866
Omd,2,4,9,6,0,9,2,2,0,10
Ogn,2137,2345,2504,1424,2486,1402,1138,2528,4624,4398
Nol8,1614,1683,1217,1658,1646,1555,1567,1837,2412,1552
Iars,9806,8780,5976,6270,8211,7362,7017,6453,7012,6358
Gm906,0,0,0,0,0,0,0,0,0,0
2310081J21Rik,0,0,0,0,0,0,0,0,0,0
Fbxw17,813,951,730,713,1388,695,726,702,908,942
Nutm2,0,0,0,0,0,0,0,0,0,0
Mir683-1,0,0,0,0,0,0,0,0,0,0
Mir683-2,0,0,0,0,0,0,0,0,0,0
Gm904,0,0,0,0,0,0,0,0,0,0
Gm8765,0,0,0,0,0,0,0,0,0,0
4930518P08Rik,0,0,0,0,0,0,0,0,0,0
9430083A17Rik,192,318,211,196,470,176,168,214,320,141
Spin1,7877,8693,5928,6711,10677,7230,6612,7235,8968,6970
Nxnl2,40,40,34,30,48,47,53,49,106,43
H2af-ps2,0,6,2,0,0,0,8,0,4,2
S1pr3,302,518,443,422,542,352,364,804,1304,1266
Shc3,38,78,62,72,76,70,34,89,66,126
Cks2,2690,3006,2383,2161,3718,2510,3058,2779,3098,2298
Secisbp2,2557,3072,2079,2211,3220,2215,2379,2597,3443,2689
Sema4d,3193,3467,2461,2728,3004,2691,2516,3698,4357,3839
Gadd45g,793,747,484,852,670,750,628,1134,1982,1249
4921525O09Rik,8,10,6,2,0,0,6,6,0,4
Diras2,0,20,52,26,0,6,80,74,338,418
Gm2848,11,3,0,13,0,4,8,13,50,32
Syk,15293,13499,8706,8433,11802,8293,8883,10685,13578,10898
BB123696,45,260,117,314,371,257,143,65,156,133
Auh,1132,1405,1055,1085,2079,1136,1210,1337,1692,1266
Nfil3,932,1221,830,1226,1596,1024,900,1072,2183,1356
Ror2,875,980,945,985,1346,895,1003,856,1752,1510
Sptlc1,7174,7712,5200,4770,7770,5206,5658,6140,6977,5722
Gm2762,0,0,0,0,0,0,0,1,0,0
Msx2,0,0,0,0,0,0,0,2,0,0
9530014B07Rik,0,0,0,0,0,0,0,0,0,0
4930555G21Rik,0,0,0,0,0,0,0,0,0,0
E130119H09Rik,0,26,0,2,0,2,0,0,0,0
Drd1,0,4,6,4,0,0,0,10,0,8
Sfxn1,7316,8120,5310,5571,8098,6099,6488,7060,7476,5313
Hrh2,66,117,58,78,94,69,21,60,164,105
Gm16578,0,0,0,4,0,1,0,2,23,2
Cplx2,1025,1286,1030,855,1624,1027,950,1097,1158,1017
Thoc3,2516,2551,1947,1976,3454,2139,1865,2136,2258,1858
LOC115486438,0,0,4,1,0,6,0,0,0,0
Simc1,638,710,529,455,670,555,512,602,544,613
4833439L19Rik,19014,21150,16141,13622,21636,14140,16080,15628,18414,13463
Arl10,3421,4028,2890,2647,5161,2733,2959,3133,3936,2963
Gm24195,3,2,10,4,0,6,2,15,0,4
Nop16,2335,2667,1886,1872,2899,2270,2510,2568,2679,2404
Higd2a,7137,8495,6745,5223,9393,4965,7269,8758,8664,7558
Cltb,14164,14622,11731,10687,14634,10398,11977,13542,14083,11826
Faf2,8488,8568,6049,5642,8832,5932,6696,6882,8224,6495
Rnf44,22597,24232,18482,15314,24511,16456,18338,20801,23082,19571
Cdhr2,54473,72059,53858,49123,63799,53124,43788,44464,48979,39235
Gprin1,114,249,101,109,118,133,121,128,310,123
Sncb,0,16,12,8,0,2,12,16,20,54
Eif4e1b,0,0,0,0,0,0,0,0,0,0
Tspan17,1080,1379,1139,1108,1942,1022,1240,1463,2685,1670
5330429C05Rik,0,0,0,0,0,0,0,0,0,0
4930526F13Rik,0,0,0,0,0,0,0,0,0,0
Unc5a,1327,954,732,693,1004,639,1024,1089,1006,1093
Hk3,464,198,170,448,186,397,128,293,696,384
Uimc1,2780,3023,2207,2232,4554,2226,2561,3060,3577,2980
Zfp346,1241,1500,1213,1201,2061,1171,1254,1524,1606,1392
Fgfr4,3075,3497,2638,2943,5025,3211,3412,3588,3837,3145
Nsd1,12903,13511,9610,9479,12308,10202,11030,11867,14964,10114
Rab24,5238,5074,4193,3571,5584,3596,4342,5767,6568,5493
Prelid1,29555,27493,19453,19469,31083,19833,23082,25933,24426,20759
Mxd3,482,419,295,354,282,368,353,489,484,315
Lman2,30442,29418,21245,17035,23917,17956,23405,25683,26820,21967
Rgs14,294,472,309,344,508,246,289,523,552,685
Slc34a1,188,130,97,47,68,77,174,179,112,130
Pfn3,0,2,4,3,0,0,1,12,0,0
F12,26,10,0,10,70,20,0,28,24,12
Grk6,10468,10353,7587,6908,9611,7078,7769,10180,9492,10027
Mir6943,0,0,0,0,0,0,0,0,0,0
Prr7,157,114,77,93,0,88,69,151,122,147
Dbn1,751,792,790,940,1087,938,572,1047,2339,1643
Mir6944,0,0,0,0,0,0,0,0,0,0
Pdlim7,2844,2874,2574,2665,3587,2566,2395,2934,5860,5064
Mir6945,3,8,1,5,13,1,3,3,0,3
Dok3,487,750,530,731,1302,529,468,1123,1621,1922
Ddx41,3979,4353,3612,3258,4717,3192,3496,4248,4938,3993
Fam193b,6554,7995,6453,5733,8698,5579,7008,8446,10550,9865
Tmed9,12582,12444,9607,9620,13562,9155,11793,13017,13894,12035
B4galt7,1800,2022,1501,1308,2161,1457,1606,1910,2004,1745
Caml,1558,1848,1566,1366,2465,1545,1791,2094,2518,2012
Ddx46,9194,9847,6764,6992,10183,8577,8506,8778,9998,7648
B230219D22Rik,8337,9180,5600,5996,9514,6421,6573,7216,10186,7229
Txndc15,2858,3606,2615,2518,3784,2359,3017,3105,4129,3249
Pcbd2,435,467,423,365,809,369,503,514,601,475
4930451E10Rik,33,39,30,36,0,36,40,42,24,36
Catsper3,2,8,5,8,0,8,15,3,8,4
Pitx1,780,1077,751,1287,1892,1046,506,1328,1996,2096
Macroh2a1,12466,14257,10939,10202,15130,10496,12770,12918,13359,12503
Tifab,535,405,337,344,654,284,276,403,582,641
4930550C17Rik,0,0,0,0,0,0,0,0,0,0
Neurog1,0,0,0,0,0,0,0,0,0,0
Cxcl14,1638,1755,1158,1863,1677,1415,979,1732,2545,2462
Gm10782,0,0,0,0,0,0,0,0,0,0
Gm3045,0,0,0,0,0,0,0,0,0,0
Slc25a48,387,279,122,271,434,235,172,274,228,130
Il9,0,0,0,0,0,0,0,0,0,0
Fbxl21,43,42,28,34,142,54,52,52,98,62
Lect2,0,2,0,2,22,4,0,0,0,0
Tgfbi,9275,10306,7760,11931,14399,9860,5543,8055,17972,16148
Smad5,6626,6226,4212,4764,7134,5230,4921,6650,8567,5884
Gm45623,48,34,26,30,52,21,30,62,0,28
Trpc7,16,15,5,1,0,1,3,4,62,17
Gm40962,0,0,0,0,0,0,0,0,0,0
Spock1,28,26,16,58,20,62,28,20,96,36
Klhl3,192,295,219,296,474,260,186,252,330,204
Mir874,0,0,0,0,0,0,0,0,0,0
Hnrnpa0,18171,22245,15186,18297,26038,17488,18844,20762,22584,19559
1700066J03Rik,0,0,0,0,0,0,0,0,0,0
Idnk,2105,2112,1856,1514,2161,1538,1852,2192,2679,2319
Ubqln1,16927,18714,12894,11958,16860,12929,14095,14211,15273,13507
Gkap1,256,370,282,303,602,378,319,310,916,604
Kif27,78,91,152,75,163,107,117,123,136,111
Mir6369,0,0,0,0,0,0,0,0,0,0
2210016F16Rik,5441,7369,4706,4154,6427,4164,5073,5747,6781,4834
Hnrnpk,40908,44724,31353,35562,56398,36149,37823,38029,44085,35249
Mir7-1,54,94,59,70,41,44,53,70,112,85
Rmi1,1524,1736,1357,1069,1869,1214,1508,1387,1709,1391
Slc28a3,1164,1151,384,402,402,443,535,938,660,656
4930455J16Rik,0,0,0,0,0,0,0,0,0,0
Ntrk2,829,1284,956,461,921,829,1618,903,924,570
Gm53063,0,0,0,0,16,0,0,0,0,0
Gm34245,0,0,0,0,0,0,0,0,0,0
Gm34307,0,0,0,0,0,0,0,0,0,0
Agtpbp1,1342,1178,737,870,1071,936,734,1344,2093,1637
A230056J06Rik,0,0,0,0,0,2,4,2,0,0
Naa35,6912,7176,4891,4093,5777,4526,5069,5468,5618,4971
Golm1,97619,87327,64440,57918,78711,60141,70526,80024,83828,66650
4921517D22Rik,0,0,0,0,0,2,0,0,0,0
Spata31d1a,0,0,0,0,0,0,0,0,0,0
Spata31d1b,0,0,2,0,0,0,0,0,0,2
Spata31d1d,0,0,0,0,0,0,0,0,0,0
4930528D03Rik,8,0,0,0,0,0,0,0,0,2
Isca1,6564,8339,6225,5257,9118,5466,7093,7550,8573,6691
Etohd2,341,504,337,228,671,295,396,434,462,374
Tut7,9660,7912,5073,4815,6133,5738,5551,6078,7485,5131
A530065N20Rik,0,0,0,0,0,0,0,2,0,0
Gas1,72,152,560,170,312,170,240,760,2932,1076
Gm5084,0,0,8,4,0,2,4,2,0,2
Dapk1,2101,2206,1862,1953,2985,1897,1775,2242,3239,2084
BC051665,0,0,0,0,0,0,0,0,0,0
Ctsll3,0,0,0,0,0,0,0,0,0,0
4930486L24Rik,0,31,4,20,50,7,15,10,0,40
Ctla2b,28,91,71,98,210,115,69,144,268,159
Tpbpb,0,0,0,0,0,0,0,0,0,0
Ctla2a,305,538,387,852,1803,696,1040,531,1368,1391
Tpbpa,0,0,0,0,0,0,0,0,0,0
Ctsj,0,0,0,0,0,0,0,0,0,0
Ctsq,0,0,0,0,0,0,0,0,0,0
Ctsr,0,0,0,0,0,0,0,0,0,0
Cts6,0,0,0,0,0,0,0,0,0,0
Cts8,0,0,0,0,0,0,1,0,0,0
Cts8-ps,0,0,0,0,0,0,0,0,0,0
Cts7,0,0,0,0,0,0,0,0,0,0
Ctsm,0,0,0,0,0,0,0,0,0,0
Cts3,0,0,0,0,0,0,0,0,0,0
Gm9595,1,2,6,4,0,4,10,10,0,6
BC052688,2,0,1,0,0,0,0,0,0,0
Gm3325,578,691,356,496,692,614,543,471,720,517
Zfp808,370,355,190,196,200,308,270,242,368,212
Gm3604,174,238,124,162,172,127,267,159,132,163
Zfp935,1101,1087,642,748,822,745,834,917,1146,804
Zfp934,222,249,127,140,124,160,230,265,239,206
6720489N17Rik,180,160,103,100,48,154,145,100,136,165
Gm36298,150,168,79,92,251,87,112,131,191,78
Mir713,0,0,0,0,0,0,0,0,0,0
Gm5141,125,144,116,124,274,180,193,116,176,158
Fbp2,9566,11960,8668,8394,15819,8808,9486,9519,9856,8660
Fbp1,111,120,124,114,492,125,122,104,204,79
Aopep,5725,5705,4699,4307,7059,4160,5562,6474,7114,6248
Gm16907,453,390,229,192,276,273,206,285,259,236
Mir23b,0,0,0,0,0,0,0,0,0,0
Mir27b,0,0,0,0,0,0,0,0,0,0
Mir3074-1,0,0,0,0,0,0,0,0,0,0
Mir24-1,0,0,0,0,0,0,0,0,0,0
Fancc,963,1145,843,752,1179,898,1015,1124,1188,1173
Ptch1,4570,4821,3273,2932,4975,3713,2992,3789,4610,3731
1700024I08Rik,0,0,0,0,0,0,0,0,0,0
Ercc6l2,2717,2817,1740,1884,3182,2161,2147,2245,2584,2287
Hsd17b3,0,0,0,0,0,0,0,0,0,0
Slc35d2,776,912,793,562,1155,536,687,613,882,681
Zfp367,2014,2004,1557,1471,1634,1591,1623,1767,2288,1663
Habp4,1536,1592,1422,1272,2168,1234,1391,1563,1994,1742
Cdc14b,2748,2680,1349,1505,2167,1714,1729,2101,2090,1736
1810034E14Rik,291,389,266,267,592,326,299,383,588,378
Prxl2c,3653,3683,2975,2719,5415,2812,2940,3666,4741,3576
Ctsl,8974,12635,8877,13053,17459,10846,7688,9924,17134,13054
Cdk20,337,439,362,506,576,428,362,509,717,609
Fam240b,0,0,0,0,0,0,0,0,0,0
Cntnap3,0,0,0,0,0,0,0,0,0,0
Spata31,0,0,0,0,0,0,0,0,0,0
Spata31d1c,0,0,0,0,0,0,0,0,0,0
Prss47,0,0,0,0,0,0,0,0,0,0
Mfsd14b,9790,11263,7893,7295,9654,7435,7610,8220,9354,8330
Olfr466,0,0,0,0,0,0,0,0,0,0
Nlrp4f,2,0,0,0,0,2,0,2,0,2
Gm36445,120,100,69,59,106,108,69,67,90,116
Zfp369,101,45,18,30,26,48,70,87,22,34
Gm7762,0,0,0,0,0,0,0,0,0,0
Gm19428,0,0,0,0,0,0,0,0,0,0
Gm53057,0,0,0,0,0,0,0,0,0,0
Gm10324,0,0,0,0,0,0,0,0,0,0
2410141K09Rik,0,0,0,0,0,0,0,0,0,0
Uqcrb,7883,9224,7456,6697,10259,6192,8872,7898,10822,7730
Gm10767,162,245,141,210,156,225,235,227,365,255
Mterf3,1458,1868,1598,1357,2361,1398,1520,1588,2535,1771
Ptdss1,9001,9883,7517,6391,10269,6937,7903,8268,9684,7480
4933433G19Rik,25,14,13,19,169,11,24,17,27,13
Zfp712,196,194,197,148,374,124,140,140,500,239
Zfp708,183,261,255,189,310,186,246,290,263,382
Rslcan18,119,156,127,84,69,87,163,142,104,165
Zfp759,414,361,328,248,418,231,409,372,402,306
Rsl1,382,412,286,321,328,325,372,442,358,437
Zfp455,138,101,136,100,84,74,119,145,324,168
Zfp458,152,274,126,162,293,143,123,194,156,159
F630042J09Rik,48,29,23,8,52,16,17,9,20,38
Zfp457,29,34,12,8,17,13,38,23,0,24
Zfp595,646,593,470,441,390,547,517,597,794,463
Zfp953,575,754,460,463,372,431,595,508,601,491
Gm17039,41,35,19,19,74,11,36,53,17,34
Zfp456,293,241,167,139,418,164,245,251,212,216
Zfp429,719,573,539,432,515,339,477,497,513,508
Zfp459,222,178,203,189,72,164,173,283,200,218
Zfp874a,820,1097,695,709,1178,561,853,1083,795,982
Zfp874b,427,775,541,390,882,365,611,657,859,624
Zfp58,540,562,392,453,530,406,518,550,528,557
Zfp87,713,959,739,593,790,578,781,812,850,861
Zfp748,954,1062,832,743,1198,775,909,988,858,899
9430065F17Rik,12,36,36,34,28,57,27,44,92,23
Zfp729b,1297,1391,894,1047,1153,836,1316,1179,1403,1199
Zfp729a,1278,1218,788,777,1137,888,1018,1007,1302,887
Zfp738,640,616,565,551,804,479,630,643,555,625
Zfp65,1139,1076,877,804,1196,730,966,1107,799,1067
Zfp85os,49,72,15,40,35,42,60,60,54,37
Zfp85,244,270,252,184,34,163,189,213,242,304
Zfp493,150,200,184,121,184,129,162,212,164,154
4930525G20Rik,43,44,48,18,0,27,26,62,54,36
Zfp273,255,258,325,230,543,194,286,270,184,343
Gm10037,9,15,33,11,22,14,26,17,0,16
BC048507,0,0,0,0,0,0,0,0,0,0
Urml,0,2,1,2,0,11,0,1,0,5
Gm8016,0,0,0,0,0,0,0,0,0,0
Mtrr,1255,1540,994,1175,1415,1305,1202,1317,1584,1289
Fastkd3,1674,2186,1465,1382,2421,1526,1558,1442,1665,1303
1700001L19Rik,36,35,35,12,28,11,58,18,6,12
Adcy2,740,518,445,348,615,349,330,434,583,475
Gm26844,0,0,0,0,0,0,2,0,0,0
Tent4a,2985,3218,2357,2199,3072,2610,2660,3008,3496,2619
Srd5a1,1772,2011,1302,1412,2268,1487,1583,1650,2110,1323
Nsun2,12972,12219,8308,9644,15433,10597,10304,10259,10311,8311
Ube2ql1,6,26,6,28,66,16,12,8,88,50
4930547H16Rik,0,0,0,0,0,0,0,0,0,0
Med10,1981,2003,1500,1553,2516,1690,1781,2016,2092,1784
4933416O17Rik,0,0,0,0,0,0,0,0,0,0
1700084F23Rik,0,0,0,0,0,0,0,0,0,0
Gm3772,0,0,0,0,0,0,0,0,0,0
4930520P13Rik,0,0,0,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0,0,0
Ice1,3822,4096,2491,2568,4065,3231,3477,3618,4108,3156
Adamts16,77,110,88,28,0,56,84,106,126,66
Gm36529,4,18,4,0,0,0,10,16,0,2
8030423J24Rik,0,4,0,0,0,2,0,0,0,0
Mir466f-4,0,0,0,0,0,0,0,0,0,0
Irx1,0,0,0,0,0,4,0,0,0,0
Gm20554,0,0,0,0,0,0,8,8,46,0
Irx2,0,0,0,0,0,4,4,0,12,2
D730050B12Rik,0,0,1,7,0,11,4,0,0,5
4930555K05Rik,0,0,0,0,0,0,0,0,0,0
Irx4,73,188,121,66,62,76,98,45,98,62
Ndufs6,3649,4048,3448,3150,4889,3119,4575,4526,4823,4101
Mrpl36,3257,3488,2895,2581,4242,2714,3572,3812,4352,2798
Eprn,0,0,0,0,0,0,0,0,0,0
Lpcat1,2529,2400,1732,1837,3000,1949,1711,2243,3147,2853
Slc6a3,6,12,2,0,0,6,0,0,10,0
Clptm1l,18072,18421,14091,13138,19335,13260,16163,16180,19443,15401
Tert,284,327,275,192,440,278,351,393,415,296
Slc6a18,0,0,0,0,0,0,0,0,0,0
Slc6a19,127,223,145,213,409,147,150,170,285,157
Slc6a19os,6,3,4,14,0,2,4,6,0,0
Slc12a7,15126,16534,13060,9758,14222,11355,12831,13385,15191,12785
Nkd2,92,137,133,110,186,144,132,227,618,549
Trip13,1441,1439,836,1109,1631,1319,1205,1090,939,769
Brd9,4254,4487,2823,3035,5354,3103,3452,4153,4461,3718
Zdhhc11,0,6,0,0,0,0,0,0,0,0
Gm15912,202,383,267,234,830,206,255,277,279,391
Tppp,2360,4905,4420,1542,2708,1821,2964,2200,2918,3139
Cep72,640,613,377,441,660,397,598,467,592,326
Slc9a3,43731,47929,36505,60138,63629,53093,34124,20207,45904,33835
Exoc3,5296,6133,4259,3840,5850,4365,4431,4743,5222,4525
Ahrr,129,142,87,132,218,96,38,151,140,147
Pdcd6,6186,7430,5307,5279,9926,5444,5890,6128,7332,5758
Sdha,42711,46799,35860,27544,43141,29604,37994,38047,38935,32437
Ccdc127,2880,3400,2497,2301,3475,2419,2811,2914,3741,2890
Lrrc14b,82,118,74,54,142,70,105,101,20,88
Zfp72,280,242,218,238,232,216,288,248,146,281
Mir692-3,0,0,0,0,0,0,0,0,0,0
Mir692-2,0,0,0,0,0,0,0,0,0,0
Zfp825,526,637,532,484,577,509,626,581,917,695
Gm46430,580,921,520,653,933,678,930,736,1241,904
Erap1,13290,13025,9053,8946,14918,9400,10163,10513,12088,10536
Cast,16970,22017,13000,14692,23753,16344,13310,13388,16284,12857
Pcsk1,935,1690,1254,958,1674,1173,1533,1104,1522,1243
Mir682,917,1042,829,849,1415,873,952,1063,1569,1340
Ell2,5419,5655,3874,4190,6809,4216,4389,4173,4676,4323
Glrx,5582,7605,5833,5692,8924,5622,5267,5065,7272,5257
Rhobtb3,497,799,568,489,534,622,614,606,836,792
Spata9,63,36,42,24,0,20,35,43,18,36
Rfesd,593,720,425,412,416,432,414,493,440,475
Gpr150,2,0,0,10,0,0,2,2,0,2
Arsk,651,906,625,712,956,648,724,897,1328,919
Ttc37,2605,2231,1362,1362,1521,1785,1835,1861,2050,1313
Fam81b,3,4,1,4,0,2,1,10,0,0
Mctp1,536,711,494,861,1072,808,601,654,1107,1189
Slf1,1689,1451,924,959,1318,1126,1092,1059,1097,1121
2210408I21Rik,224,225,172,247,186,201,196,178,182,253
Fam172a,1690,1676,1216,1480,2635,1402,1355,1516,1935,1592
Pou5f2,0,2,0,2,0,0,2,0,0,6
Nr2f1,131,212,153,277,398,192,214,198,396,516
A830082K12Rik,12,46,14,51,62,30,23,42,87,43
Arrdc3,6011,6529,3582,5465,7206,5381,4743,5325,6453,5331
5430425K12Rik,10,2,0,4,0,17,2,2,0,6
9330111N05Rik,0,0,0,0,0,0,0,0,0,0
Adgrv1,64,80,55,37,214,26,72,102,95,60
Lysmd3,2367,2785,1604,1830,2661,1731,1897,1885,1912,1732
Polr3g,1372,1501,853,1083,1610,1189,1140,1177,1536,1070
Mblac2,546,563,400,416,638,381,497,560,552,531
Cetn3,2873,3248,2116,2280,3194,2341,2689,2639,3420,2553
Mir3961,0,0,0,0,0,0,0,0,0,0
Mef2c,802,1238,672,855,1356,766,644,1422,1746,2012
C130071C03Rik,1,4,4,0,0,0,0,6,46,40
Mir9-2,0,0,0,0,0,0,0,0,0,0
Gm51268,0,0,0,0,0,0,0,0,0,0
2810049E08Rik,0,0,0,2,0,0,0,0,0,0
Gm17750,0,0,0,0,0,0,0,0,0,0
A230107N01Rik,106,110,63,82,144,85,145,146,166,91
Tmem161b,2275,2423,1724,1398,2650,1698,2121,1910,2491,1956
Ccnh,1492,1835,1275,1200,1878,1378,1500,1624,1864,1495
Rasa1,5317,5316,3934,3904,5960,3940,4353,4451,6026,4627
Cox7c,11700,14766,11909,10319,16863,9370,13803,14605,15812,14435
Gm34585,0,0,0,0,0,0,0,0,0,0
Edil3,276,286,148,210,386,164,122,459,880,610
Hapln1,84,146,46,112,220,90,106,198,314,261
Vcan,3087,4147,2131,6082,7140,5242,1709,3114,8806,6330
Xrcc4,660,749,396,553,820,512,548,643,862,626
Tmem167,6266,6554,4284,4585,7136,4962,5093,5469,6128,5129
Atp6ap1l,0,0,0,0,0,0,0,0,0,0
Rps23,25670,28689,22899,22983,38701,22491,27902,28923,35773,33366
Atg10,393,503,427,322,844,301,440,384,558,443
A830009L08Rik,0,0,1,2,0,0,0,4,0,2
Ssbp2,354,707,489,553,797,608,464,508,1219,990
4833422C13Rik,33,29,16,46,0,33,16,32,60,41
Acot12,62,103,42,124,245,121,41,65,38,70
Zcchc9,2202,2508,1893,1950,2987,1927,2000,2343,3143,2233
Ckmt2,298,371,212,376,620,239,435,358,585,309
Rasgrf2,496,1050,554,580,796,807,834,673,1018,884
Msh3,1895,2189,1217,1368,2358,1484,1633,1640,2003,1517
Dhfr,1734,2132,1158,1380,2552,1478,1607,1489,1728,1065
Ankrd34b,8,17,14,10,0,26,14,12,0,6
Fam151b,217,249,174,180,366,260,234,142,439,218
Zfyve16,2389,2381,1563,1606,2496,1718,1920,1865,2023,1787
Spz1,0,0,0,0,0,0,0,0,0,0
Serinc5,10541,12074,8022,8777,12672,9154,7919,9446,11935,8839
Thbs4,19177,18071,11081,12041,18803,11879,13402,19866,21327,14884
Mtx3,3008,3160,2025,2009,3132,2437,2389,2602,2886,2465
Cmya5,8,12,16,19,34,42,19,23,90,52
Gm4814,0,0,0,0,0,0,0,0,0,0
A630019I02Rik,0,0,0,0,0,2,0,0,0,0
Tent2,4150,4586,3419,3147,6236,3550,3560,3399,3684,3296
Homer1,1678,2019,1261,1097,1304,1318,1476,1316,1688,1241
Jmy,2288,2686,2052,1905,2840,2154,2381,2548,3034,2835
Bhmt,10,4,5,20,0,12,8,8,0,0
Bhmt2,50,65,71,95,164,79,38,16,42,18
Dmgdh,92,74,66,110,12,114,33,68,118,39
AW495222,9,1,0,0,0,0,0,2,0,1
Arsb,4241,4204,3651,3779,5429,3935,3589,3979,4628,3694
Mir5624,0,0,0,0,0,0,0,0,0,0
Lhfpl2,8126,10778,7206,7223,11112,6989,5194,5555,6581,6206
Scamp1,12393,12548,8866,7669,12750,8247,9877,10956,12250,9760
